,epa_registration_number,product_name,date_of_application,municipality,zip_code,county_code,address,dosage_rate,place,qtty_used,units
51,062719‐00556,Accord XRT II,6/26/2017,Brooklyn,11236,59,Seaview and 108th st,2%,Canarsie Park,100,ML
52,062719‐00556,Accord XRT II,9/7/2017,Brooklyn,11236,59,End of Seaview ave,2%,Canarsie Park,400,ML
53,062719‐00556,Accord XRT II,4/17/2017,Brooklyn,11234,59,Flatbush ave,2%,Floyd Bennett Field,400,ML
54,062719‐00556,Accord XRT II,4/18/2017,Brooklyn,11234,59,Flatbush ave,2%,Floyd Bennett Field,500,ML
55,062719‐00556,Accord XRT II,4/24/2017,Brooklyn,11234,59,Ave U and East 38th Street,2%,Marine Park,1400,ML
56,062719‐00556,Accord XRT II,5/16/2017,Brooklyn,11236,59,Seaview ave and 108 st,2%,Canarsie Park,1300,ML
57,062719‐00556,Accord XRT II,5/17/2017,Brooklyn,11236,59,Seaview ave and 108  street,2%,Canarsie Park,1800,ML
58,062719‐00556,Accord XRT II,8/8/2017,Queens,11434,61,Merrick Blvd & Baisley Blvd,100%,Roy Wilkins Recreation Ce,200,ML
59,062719‐00556,Accord XRT II,4/19/2017,New York,10034,60,Whaleback,2%,Inwood Hill Park,600,ML
60,062719‐00556,Accord XRT II,5/15/2017,New York,10033,60,near Whaleback,2%,Inwood Hill Park,400,ML
61,062719‐00556,Accord XRT II,5/18/2017,New York,10033,60,Whaleback & HHPkwy,2%,Inwood Hill Park,400,ML
62,062719‐00556,Accord XRT II,6/7/2017,New York,10033,60,Indian Rd & HH Pkwy,2%,Inwood Hill Park,300,ML
63,062719‐00556,Accord XRT II,4/19/2017,New York,10034,60,payson ave & Dyckman st,2%,Inwood Hill Park,800,ML
64,062719‐00556,Accord XRT II,6/19/2017,Queens,11364,61,Cross Island Parkway and 73rd Ave,2%,Alley Pond Park,900,ML
65,062719‐00556,Accord XRT II,5/11/2017,Queens,11364,61,73rd and 210,2%,Cunningham Park,400,ML
66,062719‐00556,Accord XRT II,4/28/2017,Queens,11364,61,73 rd ave & 210st,2%,Cunningham Park,1400,ML
67,062719‐00556,Accord XRT II,5/11/2017,Queens,11364,61,73rd ave & 210 st,2%,Cunningham Park,800,ML
68,062719‐00556,Accord XRT II,5/16/2017,Queens,11364,61,73 rd ave & 210 st,2%,Cunningham Park,1600,ML
69,062719‐00556,Accord XRT II,6/16/2017,Queens,11364,61,73 rd & 210st,2%,Cunningham Park,200,ML
70,062719‐00324,Accord Concentrate,6/5/2017,Queens,11413,61,149th Ave and 225th St,1%,Idlewild Park,75,ML
71,062719‐00324,Accord Concentrate,6/5/2017,Queens,11413,61,Springfield Lane and 149th Ave,1%,Idlewild Park,50,ML
72,062719‐00324,Accord Concentrate,7/31/2017,Queens,11413,61,Springfield Lane and 149th Ave,50%,Idlewild Park,40,ML
73,062719‐00324,Accord Concentrate,8/14/2017,Queens,11413,61,Springfield Lane and 149th Ave,50%,Idlewild Park,35,ML
74,062719‐00324,Accord Concentrate,8/14/2017,Queens,11413,61,Springfield Lane and 149th Ave,50%,Idlewild Park,50,ML
75,062719‐00324,Accord Concentrate,8/14/2017,Queens,11413,61,149th Ave and 225th St,50%,Idlewild Park,25,ML
76,062719‐00556,Accord XRT II,5/8/2017,Queens,11413,61,Springfield Lane and 149th Ave,2%,Idlewild Park,100,ML
77,062719‐00556,Accord XRT II,5/8/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,150,ML
78,062719‐00556,Accord XRT II,5/8/2017,Queens,11413,61,Springfield Lane and 149th Ave,2%,Idlewild Park,50,ML
79,062719‐00556,Accord XRT II,5/16/2017,Queens,11413,61,Springfield Lane and 149th Ave,2%,Idlewild Park,200,ML
80,062719‐00556,Accord XRT II,5/17/2017,Queens,11413,61,Springfield Lane and 149th Ave,2%,Idlewild Park,240,ML
81,062719‐00556,Accord XRT II,5/17/2017,Queens,11413,61,Springfield Lane and 149th Ave,2%,Idlewild Park,200,ML
82,062719‐00556,Accord XRT II,5/18/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,240,ML
83,062719‐00556,Accord XRT II,5/18/2017,Queens,11413,61,Springfield Lane and 149th Ave,2%,Idlewild Park,200,ML
84,062719‐00556,Accord XRT II,5/18/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,120,ML
85,062719‐00556,Accord XRT II,5/23/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,20,ML
86,062719‐00556,Accord XRT II,5/23/2017,Queens,11413,61,Springfield Lane and 149th Ave,2%,Idlewild Park,300,ML
87,062719‐00556,Accord XRT II,6/14/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,240,ML
88,062719‐00556,Accord XRT II,6/15/2017,Queens,11413,61,149th Ave and 225th St,50%,Idlewild Park,75,ML
89,062719‐00556,Accord XRT II,6/15/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,200,ML
90,062719‐00556,Accord XRT II,6/15/2017,Queens,11413,61,149th street and 225th street,2%,Idlewild Park,240,ML
91,062719‐00556,Accord XRT II,6/28/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,200,ML
92,062719‐00556,Accord XRT II,6/28/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,300,ML
93,062719‐00556,Accord XRT II,9/8/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,1200,ML
94,062719‐00556,Accord XRT II,9/8/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,200,ML
95,062719‐00324,Accord Concentrate,8/16/2017,Queens,11413,61,Springfield Lane and 149th Ave,50%,Idlewild Park,30,ML
96,062719‐00556,Accord XRT II,9/8/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,200,ML
97,062719‐00556,Accord XRT II,9/11/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,240,ML
98,062719‐00556,Accord XRT II,9/11/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,300,ML
99,062719‐00556,Accord XRT II,9/11/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,300,ML
100,062719‐00556,Accord XRT II,9/12/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,300,ML
101,062719‐00556,Accord XRT II,9/12/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,240,ML
102,062719‐00556,Accord XRT II,9/12/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,240,ML
103,062719‐00556,Accord XRT II,9/21/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,240,ML
104,062719‐00556,Accord XRT II,9/21/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,200,ML
105,062719‐00556,Accord XRT II,9/21/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,200,ML
106,062719‐00556,Accord XRT II,9/22/2017,Queens,11413,61,226th,2%,Idlewild Park,200,ML
107,062719‐00324,Rodeo,9/25/2017,Queens,11413,61,149th Ave and 225th St,2%,Idlewild Park,60,ML
108,062719‐00324,Rodeo,9/26/2017,Queens,11413,61,149th Ave and 225th St,33%,Idlewild Park,50,ML
109,062719‐00324,Rodeo,9/26/2017,Queens,11413,61,149th Ave and 225th St,33%,Idlewild Park,35,ML
