,epa_registration_number,product_name,qtty_used,units,dosage_rate,date_of_application,county_code,place,address,zip_code
0,524‐579,Roundup ProMax,104,FL,2%,7/17/2017,61,Alley Athletic Playground,"Winchester Blvd, Union Tpke",11427.0
1,524‐579,Roundup ProMax,156,FL,2%,9/6/2017,61,Alley Athletic Playground,"Winchester Blvd, Union Tpke",11427.0
2,524‐579,Roundup ProMax,78,FL,2%,7/18/2017,61,Bay Terrace Playground,23 Ave & 213 Pl,11360.0
3,524‐579,Roundup ProMax,104,FL,2%,7/16/2017,61,Bellaire Playground,"Hillside Ave, 207 & 208 Sts",11427.0
4,524‐579,Roundup ProMax,182,FL,2%,7/5/2017,61,Breininger Park,Braddock Ave & 240 St,11426.0
5,524‐579,Roundup ProMax,156,FL,2%,7/18/2017,61,Breininger Park,Braddock Ave & 240 St,11426.0
6,524‐579,Roundup ProMax,156,FL,2%,7/17/2017,61,Cambria Playground,121 Ave & 220 St,11411.0
7,524‐579,Roundup ProMax,6,fl,2%,7/15/2017,61,Captain Tilly Park,"Highland Ave, Upland Pkwy, Gothic Pkwy, 85 Ave",11432.0
8,524‐579,Roundup ProMax,52,FL,2%,8/20/2017,61,Captain Tilly Park,"Highland Ave, Upland Pkwy, Gothic Pkwy, 85 Ave",11432.0
9,524‐579,Roundup ProMax,6,FL,2%,9/12/2017,61,Captain Tilly Park,"Highland Ave, Upland Pkwy, Gothic Pkwy, 85 Ave",11432.0
10,524‐579,Roundup ProMax,156,FL,2%,8/6/2017,61,Cardozo Playground,Arverne Blvd Bet B 56 & B 57,11692.0
11,524‐579,Roundup ProMax,8,FL,2%,7/13/2017,61,College Point Blvd Soccer Fields,"Van Wyck Expwy, College Point Blvd,  Al Oerter Parking Lot",11375.0
12,524‐579,Roundup ProMax,156,FL,2%,10/1/2017,61,Court Square Park,"Jackson Ave, Thompson Ave, Court Sq",11101.0
13,524‐579,Roundup ProMax,5,FL,2%,5/4/2017,61,Crocheron Park Zone 1,"34th Ave, 214th Place, 33rd Rd, 214th Lane, 35th Ave, 216th St",11361.0
14,524‐579,Roundup ProMax,130,FL,2%,5/14/2017,61,Cunningham Park,"Horace Harding Expwy, Grand Central Pkwy",11366.0
15,524‐579,Roundup ProMax,130,FL,2%,5/15/2017,61,Cunningham Park,"Horace Harding Expwy, Grand Central Pkwy",11366.0
16,524‐579,Roundup ProMax,130,FL,2%,5/15/2017,61,Cunningham Park,"Horace Harding Expwy, Grand Central Pkwy",11366.0
17,524‐579,Roundup ProMax,52,FL,2%,9/11/2017,61,Cunningham Park,"Horace Harding Expwy, Grand Central Pkwy",11366.0
18,524‐579,Roundup ProMax,39,FL,2%,9/11/2017,61,Cunningham Park,"Horace Harding Expwy, Grand Central Pkwy",11366.0
19,524‐579,Roundup ProMax,65,FL,2%,9/12/2017,61,Cunningham Park,"Horace Harding Expwy, Grand Central Pkwy",11366.0
20,524‐579,Roundup ProMax,8,FL,2%,9/19/2017,61,Cunningham Park,"Horace Harding Expwy, Grand Central Pkwy",11366.0
21,524‐579,Roundup ProMax,130,FL,2%,7/9/2017,61,Delphin H. Greene Playground,121 Ave & 237 St,11413.0
22,524‐579,Roundup ProMax,104,FL,2%,5/23/2017,61,Detective Keith L Williams Park,"106 Ave, 173 St, Liberty Ave, 172 St",11433.0
23,524‐579,Roundup ProMax,104,FL,2%,5/30/2017,61,Detective Keith L Williams Park,"106 Ave, 173 St, Liberty Ave, 172 St",11433.0
24,524‐579,Roundup ProMax,78,FL,2%,7/10/2017,61,Detective William T. Gunn Park,"S/s Hillside Ave, E/o 235 Ct",11427.0
25,524‐579,Roundup ProMax,52,FL,2%,7/18/2017,61,Detective William T. Gunn Park,"S/s Hillside Ave, E/o 235 Ct",11427.0
26,524‐579,Roundup ProMax,104,FL,2%,7/23/2017,61,Detective William T. Gunn Park,"S/s Hillside Ave, E/o 235 Ct",11427.0
27,524‐579,Roundup ProMax,64,fl,2%,6/2/2017,61,Dr. Charles R. Drew Park,"Van Wyck Exwy, 116 Ave, 140 St, 115 Ave",11436.0
28,524‐579,Roundup ProMax,8,FL,2%,6/6/2017,61,Dutch Kills Green,"23 Street, Queens Plaza South",11101.0
29,524‐579,Roundup ProMax,12,FL,2%,6/7/2017,61,Dutch Kills Green,"23 Street, Queens Plaza South",11101.0
30,524‐579,Roundup ProMax,8,FL,2%,6/21/2017,61,Dutch Kills Green,"Crescent Street, Queens Plaza South",11101.0
31,524‐579,Roundup ProMax,16,FL,2%,7/11/2017,61,Dutch Kills Green,"Queensborough Bridge, No Go Area",11101.0
32,524‐579,Roundup ProMax,8,FL,2%,7/12/2017,61,Dutch Kills Green,"Queensborough Bridge, No Go Area",11101.0
33,524‐579,Roundup ProMax,16,FL,2%,7/20/2017,61,Dutch Kills Green,"23 Street, Queens Plaza North",11101.0
34,524‐579,Roundup ProMax,16,FL,2%,8/15/2017,61,Dutch Kills Green,"Greenway bikelane, 41 Ave to 29 Street, Queens Plaza North",11101.0
35,524‐579,Roundup ProMax,8,FL,2%,8/27/2017,61,Dutch Kills Green,"Jackson Ave, No Go Area",11101.0
36,524‐579,Roundup ProMax,8,FL,2%,9/13/2017,61,Dutch Kills Green,"23 Street, Queens Plaza North",11101.0
37,524‐579,Roundup ProMax,8,FL,2%,9/14/2017,61,Dutch Kills Green,"23 Street, Queens Plaza North",11101.0
38,524‐579,Roundup ProMax,78,FL,2%,7/11/2017,61,East Springfield Playground,115 Rd Bet 218 & 219 Sts,11411.0
39,524‐579,Roundup ProMax,104,FL,2%,7/12/2017,61,East Springfield Playground,115 Rd Bet 218 & 219 Sts,11411.0
40,524‐579,Roundup ProMax,20,FL,100%,7/1/2017,61,Flushing Bay Promenade,Northern Blvd To Grand Central Parkway,11375.0
41,524‐579,Roundup ProMax,32,fl,2%,6/23/2017,61,Flushing Meadows Corona Park,(w) Meadow Lake To (e)Van Wyck Expwy To (n)Parking 410 To (s)Model,11354.0
42,524‐579,Roundup ProMax,13,FL,2%,7/6/2017,61,Flushing Meadows Corona Park,"Grand Central Pkwy, Van Wyck Exwy",11368.0
