,epa_registration_number,product_name,qtty_used,units,dosage,place,date_of_application,address,municipality,zip_code
0,524-579,Round Up Pro Max,214.0,FL,3.33%,Flatbush Ave Median,05/01/2018,Flatbush ave / Belt Parkway/ Aviation road,Kings,11234
1,524-579,Round Up Pro Max,24.0,FL,2.20%,Flatbush Ave Median,08/02/2018,Flatbush ave / Belt Parkway/ Aviation road,Kings,11234
2,524-579,Round Up Pro Max,24.0,FL,2.20%,Flatbush Ave Median,08/02/2018,Flatbush Avenue / Belt Parkway/ Aviation Road,Kings,11234
3,524-579,Round Up Pro Max,38.36,FL,3.30%,Flatbush Ave Median,09/07/2018,Flatbush Avenue / Belt Parkway/ Aviation Road,Kings,11234
4,524-579,Round Up Pro Max,214.0,FL,3.33%,Flatbush Ave Median,05/01/2018,Flatbush Ave/Belt Pkwy/Aviation Rd,Kings,11234
5,524-579,Round Up Pro Max,12.0,FL,3.00%,Plumb Beach Triangle,09/24/2018,Plumb Beach / Shore Parkway,Kings,11234
