EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,UNITS,DOSAGE RATE,PLACE,DATE OF APP,ADDRESSS,MUNICIPALITY,ZIP
524‐579,ROUND UP PRO MAX,256,FL,4%,MARINE PARK,08/30/2017,"GERRITSEN AVENUE, CHANNEL AVENUE, GOTHAM AVENUE",KINGS,11229
524‐579,ROUND UP PRO MAX,179,FL,4%,MARINE PARK,08/31/2017,"GERRITSEN AVENUE, CHANNEL AVENUE, GOTHAM AVENUE",KINGS,11229
524‐579,ROUND UP PRO MAX,50,FL,3%,MCCARREN PARK,08/21/2017,"LEONARD STREET, MANHATTAN AVENUE, BAYARD STREET",KINGS,11222
524‐579,ROUND UP PRO MAX,128,FL,4%,OLD GRAVESEND CEMETARY,09/28/2017,"VILLAGE ROAD SOUTH, VAN SICKLEN ST, MCDONALD AVE",KINGS,11223
524‐579,ROUND UP PRO MAX,128,FL,4%,OLD GRAVESEND CEMETARY,09/28/2017,GRAVESEND NECK ROAD/VAN SICKLEN STREET/VILLAGE ROAD,KINGS,11223
524‐579,ROUND UP PRO MAX,4,FL,4%,OLD GRAVESEND CEMETARY,10/6/2017,"MCDONALD AVENUE, VILLAGE ROAD SOUTH, VAN SICKLEN STREET",KINGS,11223
524‐579,ROUND UP PRO MAX,30.72,FL,4%,ORIENTAL MALLS,08/08/2017,"ORIENTAL BLVD, OCEAN AVE, BEAUMONT ST ",KINGS,11325
524‐579,ROUND UP PRO MAX,2,FL,5%,PROSPECT PARK,08/29/2017,"FLATBUSH, AVENUE, OCEAN AVENUE,",KINGS,11225
524‐579,ROUND UP PRO MAX,2,FL,5%,PROSPECT PARK,08/30/2017,"CLEFTRIDGE SPAN, OCEAN AVENUE, LINCOLN ROAD",KINGS,11225
524‐579,ROUND UP PRO MAX,102,FL,4%,RED HOOK PARK,08/29/2017,"LORRAINE STREET, CLINTON STREET, HENRY STREET",KINGS,11231
524‐579,ROUND UP PRO MAX,11.5,FL,3%,RED HOOK PARK,08/21/2017,"COLUMBIA STREET, OTSEGO STREET, HALLECK STREET",KINGS,11231
524‐579,ROUND UP PRO MAX,6.4,FL,3%,SOUTH OXFORD PARK,06/30/2017,"SOUTH OXFORD ST, ATLANTIC AVE, ATLANTIC COMMONS",KINGS,11217
524‐579,ROUND UP PRO MAX,13,FL,4%,SOUTH OXFORD PARK,10/11/2017,"SOUTH OXFORD ST, ATLANTIC AVE, ATLANTIC COMMONS",KINGS,11217
524‐579,ROUND UP PRO MAX,15,FL,3%,SOUTH OXFORD PARK,09/11/2017,"ATLANTIC AVENUE, CUMBERLAND STREET, SOUTH OXFORD STREET",KINGS,11201
524‐579,ROUND UP PRO MAX,15,FL,3%,SOUTH OXFORD PARK,09/14/2017,"ATLANTIC AVENUE, CUMBERLAND STREET, SOUTH OXFORD STREET",KINGS,11201
524‐579,ROUND UP PRO MAX,9.6,FL,3%,SOUTH PACIFIC PLAYGROUND,06/30/2017,"DEAN STREET, RALPH AVE, HOWARD AVE",KINGS,11233
524‐579,ROUND UP PRO MAX,3.8,FL,3%,STEEPLECHASE PARK,05/17/2017,"SURF AVENUE, WEST 16TH STREET, WEST 19TH STREET",KINGS,11224
524‐597,ROUND UP PRO MAX,6.4,FL,4%,WASHINGTON HALL PARK,07/27/2017,"PARK AVENUE, WASHINGTON AVENUE, HALL STREET",KINGS,11205
