,epa_registration_number,product_name,qtty_used_units,date_of_application,county_code,address,municipality,zip_code,rate,place,qtty_used,units
0,062719-00324,Accord Concentrate,900 ML,7/30/2018,58,Orchard Beach Rd and Park Dr,Bronx,10464,2%,Pelham Bay Park,900,ML
1,062719-00556,Accord XRT II,1000 ML,8/21/2018,58,Winchester Blvd & Grand Central Pkwy,Oakland Gardens,11364,5%,Pelham Bay Park,1000,ML
2,062719-00556,Accord XRT II,225 ML,8/21/2018,58,225th street and 149th ave,Springfield Gardens,11413,5%,Pelham Bay Park,225,ML
3,062719-00556,Accord XRT II,500 ML,8/22/2018,58,225th street and 149th ave,Springfield Gardens,11413,5%,Pelham Bay Park,500,ML
4,062719-00556,Accord XRT II,1000 ML,8/22/2018,58,225th street and 149th ave,Springfield Gardens,11413,5%,Pelham Bay Park,1000,ML
5,062719-00324,Accord Concentrate,675 ML,9/17/2018,58,225th street and 149th ave,Springfield Gardens,11413,1.50%,Pelham Bay Park,675,ML
6,062719-00324,Accord Concentrate,550 ML,9/21/2018,58,Spaulding Lane & Palisades Ave,Bronx,10471,1.50%,Pelham Bay Park,550,ML
7,062719-00324,Accord Concentrate,225 ML,9/24/2018,58,Spaulding Lane & Palisades Ave,Bronx,10471,1.50%,Pelham Bay Park,225,ML
8,062719-00324,Accord Concentrate,300 ML,9/24/2018,58,Orchard Beach Rd and Park Dr,Bronx,10464,2%,Pelham Bay Park,300,ML
9,062719-00324,Accord Concentrate,300 ML,9/27/2018,58,Orchard Beach Rd and Park Dr,Bronx,10464,1.50%,Pelham Bay Park,300,ML
10,062719-00324,Accord Concentrate,600 ML,9/27/2018,58,225th street and 149th ave,Springfield Gardens,11413,1.50%,Pelham Bay Park,600,ML
11,062719-00324,Accord Concentrate,225 ML,10/1/2018,58,225th street and 149th ave,Springfield Gardens,11413,1.50%,Pelham Bay Park,225,ML
12,062719-00324,Accord Concentrate,500 ML,10/1/2018,58,Park Dr and City Island Rd,Bronx,10464,5%,Pelham Bay Park,500,ML
13,062719-00324,Accord Concentrate,200 ML,10/1/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,200,ML
14,062719-00324,Accord Concentrate,150 ML,10/1/2018,58,225th street and 149th ave,Springfield Gardens,11413,1.50%,Pelham Bay Park,150,ML
15,062719-00324,Accord Concentrate,150 ML,10/2/2018,58,225th street and 149th ave,Springfield Gardens,11413,1%,Pelham Bay Park,150,ML
16,062719-00324,Accord Concentrate,200 ML,10/2/2018,58,225th street and 149th ave,Springfield Gardens,11413,1%,Pelham Bay Park,200,ML
17,062719-00556,Accord XRT II,300 ML,10/10/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Parkway,300,ML
18,062719-00556,Accord XRT II,750 ML,12/3/2018,58,225th street and 149th ave,Springfield Gardens,11413,5%,Pelham Bay Park,750,ML
19,062719-00556,Accord XRT II,630 ML,6/14/2018,59,Park Dr and City Island Rd,Bronx,10464,2%,Four Sparrow Marsh,630,ML
20,062719-00556,Accord XRT II,780 ML,6/15/2018,61,Park Dr and City Island Rd,Bronx,10464,2%,Idlewild Park,780,ML
21,062719-00556,Accord XRT II,1200 ML,6/16/2018,61,Park Dr and City Island Rd,Bronx,10464,2%,Idlewild Park,1200,ML
22,062719-00556,Accord XRT II,200 ML,6/19/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Idlewild Park,200,ML
23,062719-00556,Accord XRT II,500 ML,6/22/2018,61,Cross Island Pkwy & Grand Central Pkwy,Little Neck,11362,2%,Idlewild Park,500,ML
24,062719-00556,Accord XRT II,800 ML,6/29/2018,61,Park Dr and City Island Rd,Bronx,10464,2%,Idlewild Park,800,ML
