,epa_registration_number,product_name,qtty_used_units,date_of_application,county_code,address,municipality,zip_code,rate,place,qtty_used,units
25,062719-00324,Accord Concentrate,480 ML,9/26/2018,61,Slossen and Utter Ave,Staten Island,10314,2%,Idlewild Park,480,ML
26,062719-00324,Rodeo,440 ML,10/1/2018,61,Park Dr and City Island Rd,Bronx,10464,2%,Idlewild Park,440,ML
27,062719-00324,Rodeo,720 ML,10/6/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Idlewild Park,720,ML
28,062719-00324,Accord Concentrate,960 ML,10/7/2018,61,Hylan and Buffalo,Staten Island,10306,2%,Idlewild Park,960,ML
29,062719-00556,Accord XRT II,240 ML,5/9/2018,61,Cross Island Pkwy & Grand Central Pkwy,Little Neck,11362,2%,Idlewild Park,240,ML
30,062719-00556,Accord XRT II,200 ML,6/11/2018,61,Holton and Norman Pl,Staten Island,10309,2%,Idlewild Park,200,ML
31,062719-00556,Accord XRT II,200 ML,6/12/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Idlewild Park,200,ML
32,062719-00556,Accord XRT II,200 ML,6/14/2018,59,Park Dr and City Island Rd,Bronx,10464,2%,Four Sparrow Marsh,200,ML
33,062719-00556,Accord XRT II,200 ML,6/18/2018,61,Beach 45 and Rockaway Blvd,Far Rockaway,11691,2%,Idlewild Park,200,ML
34,062719-00556,Accord XRT II,200 ML,6/19/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Idlewild Park,200,ML
35,062719-00556,Accord XRT II,240 ML,6/21/2018,61,Beach 45 and Rockaway Blvd,Far Rockaway,11691,2%,Idlewild Park,240,ML
36,062719-00556,Accord XRT II,100 ML,6/26/2018,61,Palisade Ave & 232nd ST,Bronx,10471,2%,Idlewild Park,100,ML
37,062719-00556,Accord XRT II,100 ML,6/29/2018,61,Park Dr and City Island Rd,Bronx,10464,2%,Idlewild Park,100,ML
38,062719-00556,Accord XRT II,900 ML,8/22/2018,62,Park Dr and City Island Rd,Bronx,10464,5%,Clove Lakes Park,900,ML
39,062719-00556,Accord XRT II,200 ML,4/18/2018,58,Irvington and Hylan,Staten Island,10312,2%,Pelham Bay Park,200,ML
40,062719-00556,Accord XRT II,400 ML,4/23/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,400,ML
41,062719-00556,Accord XRT II,300 ML,4/24/2018,58,225th Street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,300,ML
42,062719-00324,Accord Concentrate,300 ML,5/1/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,300,ML
43,062719-00324,Accord Concentrate,400 ML,5/2/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,400,ML
44,062719-00324,Accord Concentrate,300 ML,5/3/2018,58,225th street and 149th ave,Springfield Gardens,11413,2%,Pelham Bay Park,300,ML
45,062719-00324,Accord Concentrate,300 ML,5/11/2018,60,Irvington and Hylan,Staten Island,10312,2%,Inwood Hill Park,300,ML
46,062719-00324,Accord Concentrate,500 ML,5/24/2018,58,Park Dr and City Island Rd,Bronx,10464,2%,Pelham Bay Park,500,ML
47,062719-00324,Accord Concentrate,300 ML,5/29/2018,58,Spaulding Lane & Palisades Ave,Bronx,10463,2%,Pelham Bay Park,300,ML
48,062719-00324,Accord Concentrate,175 ML,6/7/2018,58,Park Dr and City Island Rd,Bronx,10464,1%,Pelham Bay Park,175,ML
49,062719-00324,Accord Concentrate,200 ML,6/8/2018,58,Spaulding Lane & Palisades Ave,Bronx,10463,2%,Pelham Parkway,200,ML
50,062719-00324,Accord Concentrate,300 ML,6/19/2018,58,Spaulding Lane & Palisades Ave,Bronx,10463,1.50%,Pelham Bay Park,300,ML
