EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,UNITS,DATE OF APPLICATION,ADDRESSS,MUNICIPALITY,ZIP CODE,DOSAGE RATE,PLACE
52400579,Round Up Pro Max,7 FL,"5/2/2018 Q357B01 ""102 st, 62 ave & Yellowstone Blvd""",,Rego Park,11375,2.00% Barrier Playground
52400579,Round Up Pro Max,12.5 FL,5/24/2018 Q121 Liberty ave and 172 St.,,Jamaica,11433,2 Detective Keith L Williams Park
52400579,Round Up Pro Max,256 FL,"5/14/2018 Q220C ""Van Wyck Exwy, 116 Ave, 140 St, 115 Ave""",,Jamaica,11436,2 Dr. Charles R. Drew Park
52400579,Round Up Pro Max,1 FL,5/3/2018 Q304 Austin St / 76 ave & 76 Dr,,Forest Hills,11375,2 Ehrenreich-Austin Playground
52400579,Round Up Pro Max,1 FL,"5/3/2018 QT07 ""Queens Blvd, 67 rd, 102 st""",,Forest Hills,11375,2.00% Federoff Triangle
52400579,Round Up Pro Max,8 FL,5/15/2018 Q015-ZN08 (s) Park Lane South To (w) Cypress Hills Cemetery,,Kew Gardens,11421,2 Forest Park
52400579,Round Up Pro Max,12.5 FL,5/24/2018 Q359 202 St & Jamaica Ave S/s,,Hollis,11423,2 Haggerty Park
52400579,Round Up Pro Max,37.5 FL,"5/23/2018 Q012B ""215 Pl, S/o 32 Ave""",,Bayside,11361,2 John Golden Park
52400579,Round Up Pro Max,192 FL,"5/11/2018 Q010A ""Kingsbury Ave, Cross Island Pkwy serv. Rd """,,Bayside,11364,1.5 Little Bay Park
52400579,Round Up Pro Max,12.5 FL,5/24/2018 Q351 183 Pl & Henderson Ave,,Hollis,11423,2 Peters Field
52400579,Round Up Pro Max,16 FL,"5/2/2018 Q357B ""LIE, 99 St & 62Ave""",,Rego Park,11375,2.00% Real Good Park
52400579,Round Up Pro Max,12.5 FL,"5/24/2018 Q051 ""Merrick Blvd, 173 Pl, Sayers Ave""",,St Albans,11412,2 St. Albans Park
52400579,Round Up Pro Max,2 FL,5/3/2018 Q099-01 62nd dr & Grand Central Pkwy serv. Rd,,Flushing Meadows,11375,2 World's Fair Playground
52400579,Round Up Pro Max,1 FL,"8/29/2018 Q021 ""Horace Harding Expwy, Grand Central Pkwy""",,Fresh Meadows,11365,1.50% Cunningham Park
52400579,Round Up Pro Max,12 FL,"6/5/2018 Q086-01 ""Bayside Ave, 25 Ave, 149 To 150 Sts""",,Flushing,11354,1.5 Leonardo Ingravallo Playground
52400579,Round Up Pro Max,1.5 FL,"7/19/2018 Q021 ""Horace Harding Expwy, Grand Central Pkwy""",,Queens,11364,5 Cunningham Park
52400579,Round Up Pro Max,16 FL,7/27/2018 Q017 165 St Btw 45 Ave & 46 Ave,,Queens,11358,4 The Olde Towne of Flushing Burial Ground
52400579,Round Up Pro Max,24 FL,7/18/2018 Q017 165 St Btw 45 Ave & 46 Ave,,Queens,11358,4 The Olde Towne of Flushing Burial Ground
52400579,Round Up Pro Max,2 FL,"6/7/2018 Q177 ""133 Ave, 86 St, 82 St""",,South Ozone,11417,1.5 Tudor Malls
52400579,Round Up Pro Max,2 FL,"8/29/2018 Q021 ""Horace Harding Expwy, Grand Central Pkwy""",,Fresh Meadows,11365,1.50% Cunningham Park
52400579,Round Up Pro Max,15 FL,"8/10/2018 Q024-ZN02 ""Underhill, Booth Memorial Aves, Kissena Blvd""",,Queens,11355,5 Kissena Park Zone 2 (Tennis Courts)
52400579,Round Up Pro Max,53 FL,"5/8/2018 Q001A ""Winchester Blvd, Union Tpke, Grand Central Pkwy.""",,hollis,11423,2% Alley Athletic Playground
52400579,Round Up Pro Max,106.9 FL,5/31/2018 Q015-ZN06 (se) West Main Dr. To Eastern Side Of Golf Course,,kew gardens,11421,2% Forest Park
52400579,Round Up Pro Max,53.4 FL,6/16/2018 Q369 248 St. bet. Van Zandt Ave. and 52 Ave.,,little neck,11362,2% Louis Pasteur Park
52400579,Round Up Pro Max,106.9 FL,"6/13/2018 Q094-01 ""Bet 81-82 Sts, N Conduit Ave""",,south ozone park,11417,2% Addabbo Playground
52400579,Round Up Pro Max,106.9 FL,"6/16/2018 Q316 ""216 St., 48 Ave.""",,bayside,11364,2% Captain Dermody Triangle
52400579,Round Up Pro Max,35.5 FL,8/23/2018 Q346 251 St. bet. 61 Ave. and 63 Ave.,,little neck,11362,2% Challenge Playground
52400579,Round Up Pro Max,106.9 FL,"8/24/2018 Q099 ""Grand Central Pkwy, Van Wyck Exwy""",,flushing,11354,2% Flushing Meadows Corona Park
52400579,Round Up Pro Max,106.9 FL,"6/22/2018 Q131 ""Maurice, Borden, 54 Aves, 63 St""",,maspeth,11378,2% Frank Principe Park
52400579,Round Up Pro Max,53.4 FL,"6/13/2018 Q094D ""Linden Blvd, 80th Street, Conduit Entrance Eb""",,south ozone park,11417,2% Gemini Fields
52400579,Round Up Pro Max,53.4 FL,"6/22/2018 Q075 ""Myrtle Ave., Cooper Ave., 70 St.""",,glendale,11385,2% Glendale Veterans Triangle
52400579,Round Up Pro Max,53.4 FL,"6/22/2018 Q102 ""Dry Harbor Rd, 80th St, Juniper Blvd N, """,,middle village,11379,2% Juniper Valley Park
52400579,Round Up Pro Max,53.4 FL,6/16/2018 Q305 65 Pl. bet. Shaler Ave. and the rail yards,,ridgewood,11385,2% Mafera Park
52400579,Round Up Pro Max,35.5 FL,8/23/2018 Q293 56 Ave. bet. 201 St. and 202 St.,,oakland gardens,11364,2% Saul Weprin Playground
52400579,Round Up Pro Max,106.9 FL,6/22/2018 Q291 Onderdonk Ave. bet. Starr St. and Willoughby Ave.,,ridgewood,11385,2% Starr Playground
52400579,Round Up Pro Max,53.4 FL,"6/16/2018 Q360F ""Borden Ave., Hamilton Pl., Jay Ave.""",,maspeth,11378,2% Technical Sergeant Thomas J. Davey Triangle
52400579,Round Up Pro Max,35.5 FL,8/23/2018 Q349 75 Ave. bet. Bell Blvd. and 217 St.,,bayside,11364,2% Telephone Playground
52400579,Round Up Pro Max,53.4 FL,6/11/2018 Q096 Cross Bay Blvd To Brookville Blvd,,south ozone park,11420,2% Belt Parkway
52400579,Round Up Pro Max,106.9 FL,6/13/2018 Q096 Cross Bay Blvd To Brookville Blvd,,south ozone park,11420,2% Belt Parkway
52400579,Round Up Pro Max,42 FL,"7/13/2018 Q338 ""Little Neck Pkwy, 42 To 43 Aves""",,Bayside,11359,3.5 Admiral Playground
52400579,Round Up Pro Max,42 FL,8/29/2018 Q001A WinchesterBLVD/DouglastonPKWY/UnionTPKE,,Douglaston,11361,3.5 Alley Athletic Playground
52400579,Round Up Pro Max,24 FL,8/29/2018 Q001 233ST/West AlleyRD/67AVE,,Douglaston,11361,3.5 Alley Pond Park
52400579,Round Up Pro Max,16 FL,7/17/2018 Q319 64RD/65RD/YellowstoneBLVD,,Forest Hills,11375,3.5 Annadale Playground
52400579,Round Up Pro Max,22.4 FL,7/18/2018 357b01 62 AVE/LIE/102ST,,Forest Hills,11373,3.5 Barrier Playground
52400579,Round Up Pro Max,24 FL,6/27/2018 Q066H 23ST/24DR/HoytAVE,,Astoria,11102,3.5 Chappetto Square
52400579,Round Up Pro Max,8 FL,7/19/2018 Q267 Jackson AVE/Thompson AVE/44thDR,,Long Island City,11101,3.5 Court Square Park
52400579,Round Up Pro Max,32 FL,7/20/2018 Q385 23AVE/Steinway ST/DitmarsBLVD,,Astoria,11101,3.5 Ditmars Playground
52400579,Round Up Pro Max,16 FL,8/28/2018 Q373 25 Ave & 98 St,,East Elmhurst,11370,3.5 East Elmhurst Playground
52400579,Round Up Pro Max,42 FL,7/18/2018 Q304 AustinST/76DR/76ST,,Forest Hills,11373,3.5 Ehrenreich-Austin Playground
52400579,Round Up Pro Max,42 FL,7/11/2018 Q302 60ST/STFelixAVE/60PL,,Ridgewood,11385,3.5 Evergreen Park
52400579,Round Up Pro Max,16 FL,"7/17/2018 Q099 ""Grand Central Pkwy, Van Wyck Exwy""",,Flushing,11355,3.5 Flushing Meadows Corona Park
52400579,Round Up Pro Max,24 FL,7/19/2018 Q018 VernonBLVD/44DR/10ST,,Long Island City,11101,3.5 Gordon Triangle
52400579,Round Up Pro Max,24 FL,8/27/2018 Q085 84ST/85ST/25AVE,,East Elmhurst,11370,3.5 Gorman Playground
52400579,Round Up Pro Max,16 FL,6/27/2018 Q226-01 VernonBLVD/Main AVE to Astoria BLVD/1ST,,Astoria,11102,3.5 Hallets Cove Playground
52400579,Round Up Pro Max,16 FL,7/20/2018 Q066F Hoyt Ave/31ST/24RD,Astoria,11101,3.50% Hoyt Playground
52400579,Round Up Pro Max,16 FL,7/31/2018 Q392 Springfield Lane/149AVE/223ST,Laurelton,11413,3.5 Idlewild Park
52400579,Round Up Pro Max,16 FL,"7/10/2018 Q300 ""Lawrence St,elder Ave,kissena Blvd""",Ozone Park,11416,3.5 Kissena Corridor Park
52400579,Round Up Pro Max,42 FL,8/30/2018 Q010A Cross island PKWY bet. Utopia PKWY and Totten AVE,Whitestone,11359,3.5 Little Bay Park
52400579,Round Up Pro Max,16 FL,8/28/2018 Q415 37AVE/112ST/38AVE,Corona,11368,3.5 Louis Armstrong Playground
52400579,Round Up Pro Max,42 FL,8/28/2018 Q366 76ST/25AVE/75ST,East Elmhurst,11370,3.5 Louis C. Moser Playground
52400579,Round Up Pro Max,24 FL,7/31/2018 Q369 248ST/Marathon PKWY/37AVE,Bayside,11359,3.5 Louis Pasteur Park
52400579,Round Up Pro Max,24 FL,"7/5/2018 Q364 ""211 & Oceana Sts, 46 Ave""",Flushing,11355,3.5 Marie Curie Playground
52400579,Round Up Pro Max,42 FL,8/27/2018 Q363 93ST/94ST/Northern BLVD,Jackson Heights,11372,3.5 Northern Playground
52400579,Round Up Pro Max,32 FL,7/20/2018 Q298 20AVE/48ST/21AVE,Astoria,11101,3.5 Paul Raimonda Playground
52400579,Round Up Pro Max,16 FL,"8/28/2018 Q362 ""90 St, Btw Northern Blvd & 32 Ave""",East Elmhurst,11370,3.5 Playground Ninety
52400579,Round Up Pro Max,16 FL,7/18/2018 Q377 62AVE/Yellowstone BLVD/LIE,Forest Hills,11373,3.5 Playground Sixty-Two LXII
52400579,Round Up Pro Max,16 FL,6/27/2018 Q333 21ST/34AVE/35AVE,Long Island City,11101,3.5 Ravenswood Playground
52400579,Round Up Pro Max,49 FL,7/18/2018 357B Hoarace Harding EXPWY/99ST/102ST,Forest Hills,11373,3.5 Real Good Park
52400579,Round Up Pro Max,42 FL,7/11/2018 Q398 WoodbineAVE/WoodwardAVE/MadisonST,Ridgewood,11385,3.5 Rosemary's Playground
52400579,Round Up Pro Max,24 FL,7/18/2018 Q335 YellowstoneRD/AustinST/68thRD,Forest Hills,11375,3.5 Russell Sage Playground
52400579,Round Up Pro Max,24 FL,7/5/2018 Q293 56 Ave Bet 201 & 202 Sts,Flushing,11355,3.5 Saul Weprin Playground
52400579,Round Up Pro Max,49 FL,"7/13/2018 Q021C ""Horace Harding Expwy, Grand Central Pkwy""",Bayside,11359,3.5 Seven Gables Playground
52400579,Round Up Pro Max,24 FL,7/10/2018 Q096B Cross Bay Blvd To Brookville Blvd,Howard Beach,11414,3.5 Southern Fields
52400579,Round Up Pro Max,22.4 FL,"7/20/2018 Q395 ""37 St., 38 St., bet. 20 Rd. and 20 Ave.""",Astoria,11101,3.5 Steinway Playground
52400579,Round Up Pro Max,22.4 FL,7/13/2018 Q317 64 Ave. bet. 218 St. and 219 St.,Bayside,11359,3.5 Tall Oak Playground
52400579,Round Up Pro Max,24 FL,7/13/2018 Q349 75 Ave. bet. Bell Blvd. and 217 St.,Bayside,11359,3.5 Telephone Playground
