EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,UNITS,DATE OF APPLICATION,COUNTY CODE,ADDRESSS,MUNICIPALITY,ZIP CODE,DOSAGE RATE,PLACE
062719-00324,Accord Concentrate,900 ML,7/30/2018,58 Orchard Beach Rd and Park Dr,Bronx,10464,2% Pelham Bay Park
062719-00556,Accord XRT II,1000 ML,8/21/2018,58 Winchester Blvd & Grand Central Pkwy,Oakland Gardens,11364,5% Pelham Bay Park
062719-00556,Accord XRT II,225 ML,8/21/2018,58 225th street and 149th ave,Springfield Gardens,11413,5% Pelham Bay Park
062719-00556,Accord XRT II,500 ML,8/22/2018,58 225th street and 149th ave,Springfield Gardens,11413,5% Pelham Bay Park
062719-00556,Accord XRT II,1000 ML,8/22/2018,58 225th street and 149th ave,Springfield Gardens,11413,5% Pelham Bay Park
062719-00324,Accord Concentrate,675 ML,9/17/2018,58 225th street and 149th ave,Springfield Gardens,11413,1.50% Pelham Bay Park
062719-00324,Accord Concentrate,550 ML,9/21/2018,58 Spaulding Lane & Palisades Ave,Bronx,10471,1.50% Pelham Bay Park
062719-00324,Accord Concentrate,225 ML,9/24/2018,58 Spaulding Lane & Palisades Ave,Bronx,10471,1.50% Pelham Bay Park
062719-00324,Accord Concentrate,300 ML,9/24/2018,58 Orchard Beach Rd and Park Dr,Bronx,10464,2% Pelham Bay Park
062719-00324,Accord Concentrate,300 ML,9/27/2018,58 Orchard Beach Rd and Park Dr,Bronx,10464,1.50% Pelham Bay Park
062719-00324,Accord Concentrate,600 ML,9/27/2018,58 225th street and 149th ave,Springfield Gardens,11413,1.50% Pelham Bay Park
062719-00324,Accord Concentrate,225 ML,10/1/2018,58 225th street and 149th ave,Springfield Gardens,11413,1.50% Pelham Bay Park
062719-00324,Accord Concentrate,500 ML,10/1/2018,58 Park Dr and City Island Rd,Bronx,10464,5% Pelham Bay Park
062719-00324,Accord Concentrate,200 ML,10/1/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,150 ML,10/1/2018,58 225th street and 149th ave,Springfield Gardens,11413,1.50% Pelham Bay Park
062719-00324,Accord Concentrate,150 ML,10/2/2018,58 225th street and 149th ave,Springfield Gardens,11413,1% Pelham Bay Park
062719-00324,Accord Concentrate,200 ML,10/2/2018,58 225th street and 149th ave,Springfield Gardens,11413,1% Pelham Bay Park
062719-00556,Accord XRT II,300 ML,10/10/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Parkway
062719-00556,Accord XRT II,750 ML,12/3/2018,58 225th street and 149th ave,Springfield Gardens,11413,5% Pelham Bay Park
062719-00556,Accord XRT II,630 ML,6/14/2018,59 Park Dr and City Island Rd,Bronx,10464,2% Four Sparrow Marsh
062719-00556,Accord XRT II,780 ML,6/15/2018,61 Park Dr and City Island Rd,Bronx,10464,2% Idlewild Park
062719-00556,Accord XRT II,1200 ML,6/16/2018,61 Park Dr and City Island Rd,Bronx,10464,2% Idlewild Park
062719-00556,Accord XRT II,200 ML,6/19/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Idlewild Park
062719-00556,Accord XRT II,500 ML,6/22/2018,61 Cross Island Pkwy & Grand Central Pkwy,Little Neck,11362,2% Idlewild Park
062719-00556,Accord XRT II,800 ML,6/29/2018,61 Park Dr and City Island Rd,Bronx,10464,2% Idlewild Park
062719-00324,Accord Concentrate,480 ML,9/26/2018,61 Slossen and Utter Ave,Staten Island,10314,2% Idlewild Park
062719-00324,Rodeo,440 ML,10/1/2018,61 Park Dr and City Island Rd,Bronx,10464,2% Idlewild Park
062719-00324,Rodeo,720 ML,10/6/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Idlewild Park
062719-00324,Accord Concentrate,960 ML,10/7/2018,61 Hylan and Buffalo,Staten Island,10306,2% Idlewild Park
062719-00556,Accord XRT II,240 ML,5/9/2018,61 Cross Island Pkwy & Grand Central Pkwy,Little Neck,11362,2% Idlewild Park
062719-00556,Accord XRT II,200 ML,6/11/2018,61 Holton and Norman Pl,Staten Island,10309,2% Idlewild Park
062719-00556,Accord XRT II,200 ML,6/12/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Idlewild Park
