,epa_registration_number,product_name,qtty_used,units,dosage,place,date_of_application,address,municipality,zip_code
0,524-579,Round Up Pro Max,80.0,FL,3.00%,La Guardia Playground South,8/18/2018,S 4 St /Havemayer St /S 5 St,Kings,11211.0
1,524-579,Round Up Pro Max,5.6,FL,2.20%,Coney Island Beach,06/08/2018,Brighton 15th/Brightwater/Corbin Place,Kings,11235.0
2,524-579,Round Up Pro Max,56.32,FL,2.20%,Canarsie Park,08/20/2018,Seaview avenue/ Paerdegat avenue North/ East 80th street,Kings,11236.0
3,524-579,Round Up Pro Max,48.0,FL,2.20%,Canarsie Park,08/02/2018,Seaview Avenue/ Paerdegat Avenue North/ East 80th Street,Kings,11236.0
4,524-579,Round Up Pro Max,56.32,FL,2.20%,Canarsie Park,08/20/2018,Seaview Avenue/ Paerdegat Avenue North/ East 80th Street,Kings,11236.0
5,524-579,Round Up Pro Max,48.0,FL,2.20%,Canarsie Park,08/02/2018,Seaview avenue/ Paerdegat avenue North/ East 80th street,Kings,11236.0
6,524-579,Round Up Pro Max,3.8,FL,3.00%,Coffee Square,06/29/2018,81st/7th Av/FT Hamilton PKWY,Kings,11228.0
7,524-579,Round Up Pro Max,1.0,GAL,3%,John J Carty Park,9/25/2018,"Ft Hamilton PKWY, 95th St, Marine PKWY",kings,11209.0
8,524-579,Round Up Pro Max,32.0,FL,1.60%,Linden Park,05/31/2018,Vermont St/ Linden Blvd/Stanley Ave,Kings,11207.0
9,524-579,Round Up Pro Max,1.6,FL,5.00%,Dimattina Playground,05/29/2018,Rapelye St/Henry St/Hicks St,Kings,11231.0
10,524-579,Round Up Pro Max,28.0,FL,1.60%,Dr. Green Playground,06/30/2018,Sutter Ave/Mother Gaston Blvd/Rockaway Ave,Kings,11212.0
11,524-579,Round Up Pro Max,253.0,FL,3.33%,Manhattan Beach Park,05/24/2018,Oriental Boulevard/Irwin Street/ Hastings,Kings,11235.0
