,epa_registration_number,product_name,qtty_used,units,dosage,place,date_of_application,address,municipality,zip_code
12,524-579,Round Up Pro Max,1.6,FL,5.00%,"Captain John McKenna, IV Park",06/16/2018,W/S Expwy/S/S Vanderbilt St/E. 5th St,Kings,11218.0
13,524-579,Round Up Pro Max,32.0,FL,1.60%,Brownsville Playground,06/22/2018,Hegeman Ave/ Mother Gaston Blvd/ Junius St,Kings,11212.0
14,,,,,,Patrick O'Rourke,,,,
15,524-579,Round Up Pro Max,23.0,FL,3.00%,Playground,07/02/2018,81st/11th Av/12th Av,Kings,11228.0
16,524-579,Round Up Pro Max,20.0,FL,1.60%,Belmont Playground,06/08/2018,Belmont Ave/ Drew St/Forbell St,Kings,11208.0
17,524-579,Round Up Pro Max,64.0,FL,2.50%,Surf Playground,05/29/2018,Surf Ave/West 25th St/West 26th St,Kings,11224.0
18,524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,Cayler street/ McGuinness Boulevard/Meserole avenue,Kings,11222.0
19,524-579,Round Up Pro Max,6.4,FL,5.00%,Pulaski Playground,07/28/2018,Hart St/Throop Ave/Marcus Garvey Ave.,Kings,11206.0
20,524-579,Round Up Pro Max,80.0,FL,2.50%,Century Playground,05/31/2018,West 2nd St/Brighton Ave/West 4th St,Kings,11224.0
21,524-579,Round Up Pro Max,11.5,FL,3.00%,Tom Mcdonald Triangle,06/29/2018,83st/6th Av/FT Hamilton PKWY,Kings,11209.0
22,524-579,Round Up Pro Max,7.13,FL,2.20%,Ericsson Playround,07/31/2018,Leonard Street/ Manhattan Avenue/ Bayard Street,Kings,11222.0
23,524-579,Round Up Pro Max,3.57,FL,2.20%,Ericsson Playround,07/31/2018,Leonard Street/ Manhattan Avenue/ Baynard street,Kings,11222.0
24,524-579,Round Up Pro Max,24.0,FL,1.60%,Howard Playground,06/29/2018,Mother Gaston Blvd/Glenmore Ave/ E New York Ave,Kings,11212.0
25,524-579,Round Up Pro Max,12.0,FL,1.60%,Chester Playground,06/29/2018,Chester St/ Sutter Ave/ Pitkin Ave,Kings,11212.0
26,524-579,Round Up Pro Max,26.0,FL,1.60%,Houston Playground,05/24/2018,Powell St/Glenmore Ave/Sackman St,Kings,11212.0
27,524-579,Round Up Pro Max,6.0,FL,1.60%,Duke Park,06/23/2018,New Jersey Ave/Blake Ave/ Dumont Ave,Kings,11207.0
28,524-579,Round Up Pro Max,3.2,FL,2.50%,Coney Island Creek Park,07/24/2018,West 33rd/West 37th/Bayview Ave,Kings,11224.0
29,524-579,Round Up Pro Max,1.6,FL,5.00%,Fresh Creek Park,05/29/2018,Seaview Ave/Louisiana Ave/Hornell Loop,Kings,11239.0
30,524-579,Round Up Pro Max,3.2,FL,5.00%,Green Central Knoll,10/26/2018,EVERGREEN AVENUE/FLUSHING AVENUE/CENTRAL AVENUE,KINGS,11206.0
31,524-579,Round Up Pro Max,12.8,FL,3.00%,Green Central Knoll,10/26/2018,EVERGREEN AVENUE/FLUSHING AVENUE/CENTRAL AVENUE,KINGS,11206.0
32,524-579,Round Up Pro Max,16.0,FL,1.60%,Nehemiah Park,06/26/2018,Watkins St/ Mother Gaston Blvd/Livonia Ave,Kings,11212.0
33,524-579,Round Up Pro Max,6.0,FL,1.60%,Carter Woodson Playground,06/16/2018,Christopher St/Sutter Ave/Belmont Ave,Kings,11212.0
34,524-579,Round Up Pro Max,14.0,FL,1.60%,G.Walker Park,06/22/2018,Wyona St/Vermont St/Jamaica Ave,Kings,11207.0
35,524-579,Round Up Pro Max,5.75,FL,3.00%,South Oxford Park,10/09/2018,South Oxford St/Cumberland St/ Atlantic Ave,Kings,11217.0
36,524-579,Round Up Pro Max,5.75,FL,3.00%,South Oxford Park,10/09/2018,South Oxford St/Cumberland St/ Atlantic Ave,Kings,11217.0
37,524-579,Round Up Pro Max,7.7,FL,3.00%,South Oxford Park,10/09/2018,South Oxford St/Cumberland St/ Atlantic Ave,Kings,11217.0
38,524-579,Round Up Pro Max,3.8,FL,3.00%,South Oxford Park,10/09/2018,South Oxford St/Cumberland St/ Atlantic Ave,Kings,11217.0
39,,,,,,Louis J Valentino Jr. Park,,,,
40,524-579,Round Up Pro Max,14.4,FL,2.20%,and Pier,08/15/2018,Ferris Street/ Coffey Street/ VanDyke Street,Kings,11231.0
41,524-579,Round Up Pro Max,14.4,FL,2.20%,Louis Valentino Jr. Park,08/15/2018,Ferris street/ Coffey street/ VanDyke street,Kings,11231.0
42,524-579,Round Up Pro Max,224.0,FL,3.00%,American Veteran Memorial Piers,9/1/2018,Bay Ridge Ave/Shore Rd/68st St,Kings,11209.0
43,524-579,Round Up Pro Max,40.0,FL,2.20%,Old Gravesend Cemetery,07/31/2018,Gravesend Neck Road/ Village Road East/ Village Road North,Kings,11223.0
44,524-579,Round Up Pro Max,40.0,FL,2.20%,Old Gravesend Cemetery,07/31/2018,Gravesend neck road/ Village Road East/ Village Road North,Kings,11223.0
45,524-579,Round Up Pro Max,12.8,FL,3.00%,Bushwick Inlet Park,08/12/2018,Franklin St/Meserole Ave/Kent St,Kings,11249.0
46,524-579,Round Up Pro Max,14.08,FL,2.20%,Lincoln Terrace Park,08/20/2018,Eastern Parkway/ Buffalo Avenue/ Rochester Avenue,Kings,11213.0
47,524-579,Round Up Pro Max,2.2,FL,2.20%,Lincoln Terrace Park,08/20/2018,Eastern Parkway/ Buffalo avenue/ Rochester avenue,Kings,11213.0
48,524-579,Round Up Pro Max,214.0,FL,3.33%,Beaver Knoll Park,05/11/2018,90 Beaver Street,Kings,11206.0
49,524-579,Round Up Pro Max,214.0,FL,3.33%,Beaver Knoll Park,05/15/2018,90 Beaver Street,Kings,11206.0
50,524-579,Round Up Pro Max,214.0,FL,3.33%,Beaver Knoll Park,05/04/2018,90 Beaver Street/Bushwick Ave,Kings,11206.0
51,524-579,Round Up Pro Max,214.0,FL,3.33%,Beaver Knoll Park,05/15/2018,90 Beaver St,Kings,11206.0
52,524-579,Round Up Pro Max,35.2,FL,2.20%,Holocaust Memorial Park,09/27/2018,West End Avenue/ Neptune Avenue/Shore Boulevard,Kings,11235.0
