EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,DATE OF APPLICATION,ADDRESS,MUNICIPALITY,ZIP CODE,DOSAGE PARK
062719‐00556,Accord XRT II,400 ML,4/17/2017,59 Flatbush ave,Brooklyn,11234,2% Floyd Bennett Field
062719‐00556,Accord XRT II,500 ML,4/18/2017,59 Flatbush ave,Brooklyn,11234,2% Floyd Bennett Field
062719‐00556,Accord XRT II,1400 ML,4/24/2017,59 Ave U and East 38th Street,Brooklyn,11234,2% Marine Park
062719‐00556,Accord XRT II,1300 ML,5/16/2017,59 Seaview ave and 108 st,Brooklyn,11236,2% Canarsie Park
062719‐00556,Accord XRT II,1800 ML,5/17/2017,59 Seaview ave and 108,Brooklyn,11236,2% Canarsie Park
062719‐00556,Accord XRT II,200 ML,8/8/2017,61 Merrick Blvd & Baisley Blvd,Queens,11434,100% Roy Wilkins Recreation Ce
062719‐00556,Accord XRT II,600 ML,4/19/2017,60 Whaleback,New York,10034,2% Inwood Hill Park
062719‐00556,Accord XRT II,400 ML,5/15/2017,60 near Whaleback,New York,10033,2% Inwood Hill Park
062719‐00556,Accord XRT II,400 ML,5/18/2017,60 Whaleback & HHPkwy,New York,10033,2% Inwood Hill Park
062719‐00556,Accord XRT II,300 ML,6/7/2017,60 Indian Rd & HH Pkwy,New York,10033,2% Inwood Hill Park
062719‐00556,Accord XRT II,800 ML,4/19/2017,60 payson ave & Dyckman st,New York,10034,2% Inwood Hill Park
062719‐00556,Accord XRT II,900 ML,6/19/2017,61 Cross Island Parkway and 73rd Ave,Queens,11364,2% Alley Pond Park
062719‐00556,Accord XRT II,400 ML,5/11/2017,61 73rd and 210,Queens,11364,2% Cunningham Park
062719‐00556,Accord XRT II,1400 ML,4/28/2017,61 73 rd ave & 210st,Queens,11364,2% Cunningham Park
062719‐00556,Accord XRT II,800 ML,5/11/2017,61 73rd ave & 210 st,Queens,11364,2% Cunningham Park
062719‐00556,Accord XRT II,1600 ML,5/16/2017,61 73 rd ave & 210 st,Queens,11364,2% Cunningham Park
062719‐00556,Accord XRT II,200 ML,6/16/2017,61 73 rd & 210st,Queens,11364,2% Cunningham Park
062719‐00324,Accord Concentrate,75 ML,6/5/2017,61 149th Ave and 225th St,Queens,11413,1% Idlewild Park
062719‐00324,Accord Concentrate,50 ML,6/5/2017,61 Springfield Lane and 149th Ave,Queens,11413,1% Idlewild Park
062719‐00324,Accord Concentrate,40 ML,7/31/2017,61 Springfield Lane and 149th Ave,Queens,11413,50% Idlewild Park
062719‐00324,Accord Concentrate,35 ML,8/14/2017,61 Springfield Lane and 149th Ave,Queens,11413,50% Idlewild Park
062719‐00324,Accord Concentrate,50 ML,8/14/2017,61 Springfield Lane and 149th Ave,Queens,11413,50% Idlewild Park
062719‐00324,Accord Concentrate,25 ML,8/14/2017,61 149th Ave and 225th St,Queens,11413,50% Idlewild Park
062719‐00556,Accord XRT II,100 ML,5/8/2017,61 Springfield Lane and 149th Ave,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,150 ML,5/8/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,50 ML,5/8/2017,61 Springfield Lane and 149th Ave,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,200 ML,5/16/2017,61 Springfield Lane and 149th Ave,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,240 ML,5/17/2017,61 Springfield Lane and 149th Ave,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,200 ML,5/17/2017,61 Springfield Lane and 149th Ave,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,240 ML,5/18/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
