,epa_registration_number,product_name,qtty_used,units,date_of_application,address,municipality,zip_code,dosage,place
0,52400579,Round Up Pro Max,25.8,FL,6/26/2018,"Q301 ""Union Hall St, 160 St, 110 Avenue""",JAMAICA,11433,1.50%,Jamaica Playground
1,52400579,Round Up Pro Max,68.8,FL,6/25/2018,"Q127 ""157 St , 155 St and 108 Avenue""",JAMAICA,11433,1.50%,Marconi Park
2,52400579,Round Up Pro Max,103.2,FL,6/25/2018,"Q023 ""Jamaica Ave., 89 Ave. bet. 150 St. and 153 St.""",JAMAICA,11435,1.50%,Rufus King Park
3,52400579,Round Up Pro Max,2.54,FL,8/31/2018,Q327 Little Neck Pkwy & 72 Ave,Jamaica,11426,5%,Castlewood Playground
4,52400579,Round Up Pro Max,1.69,FL,7/7/2018,"Q009 ""Poppenhusen Ave, College Pl, 115 St, East River""",College Point,11356,5%,MacNeil Park
5,52400579,Round Up Pro Max,0.85,FL,8/31/2018,Q430 149 Ave & 253 St,Springfield Gardens,11413,5%,Sunrise Playground
6,52400579,Round Up Pro Max,54.0,FL,8/24/2018,"Q338 ""Little Neck Pkwy, 42 To 43 Aves""",Little Neck,11363,4.20%,Admiral Playground
7,52400579,Round Up Pro Max,80.6,FL,9/14/2018,"Q454 ""Huxley St, Hook Creek Basin, & Rockaway Blvd""",Rosedale,11422,4.20%,Hook Creek Park
8,52400579,Round Up Pro Max,0.85,FL,7/7/2018,"Q009 ""Poppenhusen Ave, College Pl, 115 St, East River""",College Point,11356,5%,MacNeil Park
9,52400579,Round Up Pro Max,134.0,FL,9/27/2018,"Q453 ""Little Neck Pkwy, Commonwealth Blvd""",Glen Oaks,11004,4.20%,Queens Farm Park
10,52400579,Round Up Pro Max,80.6,FL,8/24/2018,Q430 149 Ave & 253 St,Rosedale,11422,4.20%,Sunrise Playground
11,52400579,Round Up Pro Max,6.4,FL,7/7/2018,"Q086 ""Bayside Ave, 25 Ave, 149 To 150 Sts""",Flushing,11354,5%,Flushing Fields
12,52400579,Round Up Pro Max,54.0,FL,9/14/2018,Q027 Sunrise Hwy To Southern State Pkwy,Rosedale,11422,4.20%,Laurelton Parkway
