EPA REGISTRATION NUMBER,PRODUCT NAME,DOSAGE,DATE OF APPLICATION,ADDRESS,ADDRESS_2,RATE,PLACE
000524‐00579,ROUNDUP PROMAX,4.28 FL,10/13/2017,95‐96th St,Lexington Ave,10028,3% Samuel Seabury
000524‐00579,ROUNDUP PROMAX,4.28 FL,10/13/2017,144th St,Lenox,10039,3% Colonol Young
000524‐00579,ROUNDUP PROMAX,55.64 FL,7/22/2017,Catherine Slip btw Monroe,Cherry St,10002,3% Al Smith Plgd
000524‐00579,ROUNDUP PROMAX,27 FL,8/13/2017,South St,Dover St,10038,3% Driscol Walk East River Esplanade
000524‐00579,ROUNDUP PROMAX,214 FL,8/13/2017,Morningside Ave,123rd St,10026,3% Morningside Park
000524‐00579,ROUNDUP PROMAX,21.4 FL,8/13/2017,Morningside Ave,118th St,10026,3% Morningside Park
000524‐00579,ROUNDUP PROMAX,21.4 FL,8/13/2017,Morningside Ave,Morningside Drive,10026,3% Morningside Park
000524‐00579,ROUNDUP PROMAX,42.8 FL,6/9/2017,124th Btw Madison Ave,Mount Morris,10027,3% Marcus Garvey
000524‐00579,ROUNDUP PROMAX,42.8 FL,6/10/2017,120th Btw Madison Ave,Mount Morris,10027,3% Marcus Garvey
000524‐00579,ROUNDUP PROMAX,171.2 FL,6/10/2017,Mount Morris btw 120th‐124th Streets,,10027,3% Marcus Garvey
000524‐00579,ROUNDUP PROMAX,171.2 FL,6/10/2017,Madison Ave btw 120th‐124th Streets,,10027,3% Marcus Garvey
000524‐00579,ROUNDUP PROMAX,214 FL,6/10/2017,120th‐124th btw Mount Morris,Madison A,10027,3% Marcus Garvey Interior Park
000524‐00579,ROUNDUP PROMAX,34.24 FL,7/22/2017,Madison,Catherine St,10002,3% Playground One
000524‐00579,ROUNDUP PROMAX,64.2 FL,8/4/2017,135th St,Lexington Ave,10037,3% Howard Bennett Park
000524‐00579,ROUNDUP PROMAX,42.8 FL,8/4/2017,117th St btw St Nicholas,Adam Clayton,10026,3% Phillip Randolph
000524‐00579,ROUNDUP PROMAX,42.8 FL,8/4/2017,114th St btw Morningside,Manhattan Av,10026,3% Lafayette Square
000524‐00579,ROUNDUP PROMAX,120 FL,9/9/2017,124‐120th,Mount Morris,10027,3% Marcus Garvey
000524‐00579,ROUNDUP PROMAX,13 FL,9/9/2017,102‐104,2nd Ave,10029,3% Blake Hobbs Plgd
000524‐00579,ROUNDUP PROMAX,6.42 FL,9/9/2017,101st St Btw 3rd Ave,Lexington,10029,3% Sunshine Plgd
000524‐00579,ROUNDUP PROMAX,8.56 FL,9/9/2017,108th St,3rd Ave,10029,3% Poor Richards
000524‐00579,Round Up ProMax,3 FL,4/14/2017,71st Street inside Park,,10023,3% Riverside Park
000524‐00579,Round Up ProMax,3 FL,6/9/2017,South Park 59th Street,,10023,3% Riverside Park
000524‐00579,ROUNDUP PROMAX,8 FL,8/7/2017,741 Fort Tryon Avenue,,10040,3% Fort Tryon Park
000524‐00579,ROUNDUP PROMAX,4 FL,8/15/2017,741 Fort Tryon Avenue,,10040,3% Fort Tryon Park
