,epa_registration_number,product_name,qtty_used,units,dosage_rate,place,date_of_application,address,municipality,zip_code
3,524‐579,ROUND UP PRO MAX,7.5,FL,3%,ADAM YAUCH PARK,09/25/2017,"ATLANTIC AVENUE, HICKS STREET, BQE ENTRANCE RAMP",KINGS,11201
4,524‐579,ROUND UP PRO MAX,3.5,FL,3%,ALBERT J PARHAM PLAYGROUND,09/12/2017,"ADELPHI STREET, CLERMONT STREET, WILLOUGHBY AVENUE",KINGS,11201
5,524‐597,ROUND UP PRO MAX,1.3,FL,4%,BRIDGE PARK,07/27/2017,"JAY STREET, YORK STREET, PROSPECT AVENUE",KINGS,11201
6,524‐597,ROUND UP PRO MAX,9,FL,4%,BRIDGE PARK,07/27/2017,"JAY STREET, YORK STREET, PROSPECT AVENUE",KINGS,11201
7,524‐597,ROUND UP PRO MAX,25.6,FL,4%,CADMAN PLAZA PARK,07/27/2017,"TILLARY STREET, CADMAN PLAZA/CADMAN PLAZA EAST",KINGS,11201
8,524‐579,ROUND UP PRO MAX,2.6,FL,4%,CALVERT VAUX PARK,06/26/2017,"BAY 44TH STREET, SHORE PARKWAY, BAY 49TH STREET",KINGS,11214
9,524‐579,ROUND UP PRO MAX,2.6,FL,4%,CALVERT VAUX PARK,08/19/2017,"BAY 44TH STREET, SHORE PARKWAY, BAY 49TH STREET",KINGS,11214
10,524‐579,ROUND UP PRO MAX,20.5,FL,4%,CALVERT VAUX PARK,08/25/2017,"BAY 44TH STREET, SHORE PARKWAY, BAY 49TH STREET",KINGS,11214
11,524‐579,ROUND UP PRO MAX,1.3,FL,4%,CALVERT VAUX PARK,08/26/2017,"BAY 44TH STREET, SHORE PARKWAY, BAY 49TH STREET",KINGS,11214
12,524‐579,ROUND UP PRO MAX,15,FL,3%,COFFEY PARK,09/14/2017,"DWIGHT STREET, RICHARDS STREET, VERONA STREET",KINGS,11231
13,524‐579,ROUND UP PRO MAX,11.5,FL,3%,COFFEY PARK,08/09/2017,"KING STREET, RICHARDS STREET, VERONA STREET",KINGS,11231
14,524‐579,ROUND UP PRO MAX,11.5,FL,3%,COFFEY PARK,08/11/2017,"KING STREET, RICHARDS STREET, VERONA STREET",KINGS,11231
15,524‐579,ROUND UP PRO MAX,15,FL,3%,COFFEY PARK,09/14/2017,"DWIGHT STREET, RICHARDS STREET, VERONA STREET",KINGS,11231
16,524‐579,ROUND UP PRO MAX,30,FL,3%,COMMODORE BARRY PARK,05/19/2017,"NASSAU STREET, FLUSHING AVENUE, NAVY STREET",KINGS,11201
