,epa_registration_number,product_name,qtty_used_units,date_of_application,address,municipality,zip_code,dosage_rate_place,dosage_rate,place
33,52400579,Round Up Pro Max,35.5 FL,8/23/2018,Q293 56 Ave. bet. 201 St. and 202 St.,oakland gardens,11364,2% Saul Weprin Playground,2%,Saul Weprin Playground
34,52400579,Round Up Pro Max,106.9 FL,6/22/2018,Q291 Onderdonk Ave. bet. Starr St. and Willoughby Ave.,ridgewood,11385,2% Starr Playground,2%,Starr Playground
35,52400579,Round Up Pro Max,53.4 FL,6/16/2018,"Q360F ""Borden Ave., Hamilton Pl., Jay Ave.""",maspeth,11378,2% Technical Sergeant Thomas J. Davey Triangle,2%,Technical Sergeant Thomas J. Davey Triangle
36,52400579,Round Up Pro Max,35.5 FL,8/23/2018,Q349 75 Ave. bet. Bell Blvd. and 217 St.,bayside,11364,2% Telephone Playground,2%,Telephone Playground
37,52400579,Round Up Pro Max,53.4 FL,6/11/2018,Q096 Cross Bay Blvd To Brookville Blvd,south ozone park,11420,2% Belt Parkway,2%,Belt Parkway
38,52400579,Round Up Pro Max,106.9 FL,6/13/2018,Q096 Cross Bay Blvd To Brookville Blvd,south ozone park,11420,2% Belt Parkway,2%,Belt Parkway
39,52400579,Round Up Pro Max,42 FL,7/13/2018,"Q338 ""Little Neck Pkwy, 42 To 43 Aves""",Bayside,11359,3.5 Admiral Playground,3.5,Admiral Playground
40,52400579,Round Up Pro Max,42 FL,8/29/2018,Q001A WinchesterBLVD/DouglastonPKWY/UnionTPKE,Douglaston,11361,3.5 Alley Athletic Playground,3.5,Alley Athletic Playground
41,52400579,Round Up Pro Max,24 FL,8/29/2018,Q001 233ST/West AlleyRD/67AVE,Douglaston,11361,3.5 Alley Pond Park,3.5,Alley Pond Park
42,52400579,Round Up Pro Max,16 FL,7/17/2018,Q319 64RD/65RD/YellowstoneBLVD,Forest Hills,11375,3.5 Annadale Playground,3.5,Annadale Playground
43,52400579,Round Up Pro Max,22.4 FL,7/18/2018,357b01 62 AVE/LIE/102ST,Forest Hills,11373,3.5 Barrier Playground,3.5,Barrier Playground
44,52400579,Round Up Pro Max,24 FL,6/27/2018,Q066H 23ST/24DR/HoytAVE,Astoria,11102,3.5 Chappetto Square,3.5,Chappetto Square
45,52400579,Round Up Pro Max,8 FL,7/19/2018,Q267 Jackson AVE/Thompson AVE/44thDR,Long Island City,11101,3.5 Court Square Park,3.5,Court Square Park
46,52400579,Round Up Pro Max,32 FL,7/20/2018,Q385 23AVE/Steinway ST/DitmarsBLVD,Astoria,11101,3.5 Ditmars Playground,3.5,Ditmars Playground
47,52400579,Round Up Pro Max,16 FL,8/28/2018,Q373 25 Ave & 98 St,East Elmhurst,11370,3.5 East Elmhurst Playground,3.5,East Elmhurst Playground
48,52400579,Round Up Pro Max,42 FL,7/18/2018,Q304 AustinST/76DR/76ST,Forest Hills,11373,3.5 Ehrenreich-Austin Playground,3.5,Ehrenreich-Austin Playground
49,52400579,Round Up Pro Max,42 FL,7/11/2018,Q302 60ST/STFelixAVE/60PL,Ridgewood,11385,3.5 Evergreen Park,3.5,Evergreen Park
50,52400579,Round Up Pro Max,16 FL,7/17/2018,"Q099 ""Grand Central Pkwy, Van Wyck Exwy""",Flushing,11355,3.5 Flushing Meadows Corona Park,3.5,Flushing Meadows Corona Park
51,52400579,Round Up Pro Max,24 FL,7/19/2018,Q018 VernonBLVD/44DR/10ST,Long Island City,11101,3.5 Gordon Triangle,3.5,Gordon Triangle
52,52400579,Round Up Pro Max,24 FL,8/27/2018,Q085 84ST/85ST/25AVE,East Elmhurst,11370,3.5 Gorman Playground,3.5,Gorman Playground
53,52400579,Round Up Pro Max,16 FL,6/27/2018,Q226-01 VernonBLVD/Main AVE to Astoria BLVD/1ST,Astoria,11102,3.5 Hallets Cove Playground,3.5,Hallets Cove Playground
